Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
mouse,0,0,0,3.0,1.881259957968723,,,,,,,,,,,,0,0,0,8,,,,,0.027472208021208644,,0.013068458007182926,0.027472208021208644,0.027472208021208644,1.9013641669880599,3.0,1.881259957968723,,,,,,,,,,,,,,,,04,001,2025-10-15_01h06.09.964,Word Priming,,2025.1.1,119.3589826355341,2025-10-15 01h06.16.554064 +0530,
tshirt,1,1,0,3.0,1.1229835829581134,,,,,,,,,,,,0,1,1,7,,,,,1.9112069999682717,,1.9042696669930592,1.9112069999682717,1.9112069999682717,3.035806124971714,3.0,1.1229835829581134,,,,,,,,,,,,,,,,04,001,2025-10-15_01h06.09.964,Word Priming,,2025.1.1,119.3589826355341,2025-10-15 01h06.16.554064 +0530,
board,2,2,0,2.991111111111111,2.5722430419991724,,,,,,,,,,,,0,2,2,4,,,,,3.046310707984958,,3.038713333022315,3.046310707984958,3.046310707984958,5.618288666999433,2.991111111111111,2.5722430419991724,,,,,,,,,,,,,,,,04,001,2025-10-15_01h06.09.964,Word Priming,,2025.1.1,119.3589826355341,2025-10-15 01h06.16.554064 +0530,
poster,3,3,0,4.04,1.556628082995303,,,,,,,,,,,,0,3,3,14,,,,,5.627728624967858,,5.620849624974653,5.627728624967858,5.627728624967858,7.184833167004399,4.04,1.556628082995303,,,,,,,,,,,,,,,,04,001,2025-10-15_01h06.09.964,Word Priming,,2025.1.1,119.3589826355341,2025-10-15 01h06.16.554064 +0530,
book,4,4,0,1,1.6075927910278551,,,,,,,,,,,,0,4,4,0,,,,,7.1936124580097385,,7.186643082997762,7.1936124580097385,7.1936124580097385,8.802657000022009,1,1.6075927910278551,,,,,,,,,,,,,,,,04,001,2025-10-15_01h06.09.964,Word Priming,,2025.1.1,119.3589826355341,2025-10-15 01h06.16.554064 +0530,
pastry,5,5,0,3.991111111111111,2.1889678749721497,,,,,,,,,,,,0,5,5,9,,,,,8.812193082994781,,8.805051999981515,8.812193082994781,8.812193082994781,11.002648041991051,3.991111111111111,2.1889678749721497,,,,,,,,,,,,,,,,04,001,2025-10-15_01h06.09.964,Word Priming,,2025.1.1,119.3589826355341,2025-10-15 01h06.16.554064 +0530,
police,6,6,0,3.991111111111111,1.1064551249728538,,,,,,,,,,,,0,6,6,12,,,,,11.01168020797195,,11.004466167010833,11.01168020797195,11.01168020797195,12.11848587502027,3.991111111111111,1.1064551249728538,,,,,,,,,,,,,,,,04,001,2025-10-15_01h06.09.964,Word Priming,,2025.1.1,119.3589826355341,2025-10-15 01h06.16.554064 +0530,
cruise,7,7,0,5,1.5566755409818143,,,,,,,,,,,,0,7,7,11,,,,,12.127328542002942,,12.12047566700494,12.127328542002942,12.127328542002942,13.686022749985568,5,1.5566755409818143,,,,,,,,,,,,,,,,04,001,2025-10-15_01h06.09.964,Word Priming,,2025.1.1,119.3589826355341,2025-10-15 01h06.16.554064 +0530,
keys,8,8,0,2.0,2.3888214160106145,,,,,,,,,,,,0,8,8,13,,,,,13.694637292006519,,13.687713583000004,13.694637292006519,13.694637292006519,16.086066125018988,2.0,2.3888214160106145,,,,,,,,,,,,,,,,04,001,2025-10-15_01h06.09.964,Word Priming,,2025.1.1,119.3589826355341,2025-10-15 01h06.16.554064 +0530,
phone,9,9,0,1.9066666666666667,1.8226349159958772,,,,,,,,,,,,0,9,9,2,,,,,16.09536166698672,,16.088473249983508,16.09536166698672,16.09536166698672,17.918560874997638,1.9066666666666667,1.8226349159958772,,,,,,,,,,,,,,,,04,001,2025-10-15_01h06.09.964,Word Priming,,2025.1.1,119.3589826355341,2025-10-15 01h06.16.554064 +0530,
